date,team,carm_post,carm_pre,carm_prob,elo_post,elo_pre,elo_prob,margin,score,won,make,won_prior,carm_prior,conference,margin_prior,score_prior
2015-12-02,ATL,1545.970527,1560.119706,0.63092387,1551.425713,1566.525789,0.660326089,-10,86,No,y,Yes,-5.935819,East,6,106
2015-12-04,ATL,1548.018731,1545.970527,0.891905709,1553.742937,1551.425713,0.879339767,13,100,Yes,y,No,-12.100975,East,-10,86
2015-12-09,ATL,1555.323546,1548.018731,0.388048191,1561.570406,1553.742937,0.357134801,3,98,Yes,y,Yes,9.353019,East,13,100
2015-12-10,ATL,1551.901211,1555.323546,0.17037813,1555.204633,1561.570406,0.291781075,-13,94,No,y,Yes,3.88248,East,3,98
2015-12-12,ATL,1534.270647,1551.901211,0.46799417,1539.752658,1555.204633,0.42086333,-25,78,No,y,No,-21.052899,East,-13,94
2015-12-14,ATL,1512.905667,1534.270647,0.766433196,1520.641114,1539.752658,0.715792283,-12,88,No,y,No,-38.995544,East,-25,78
2015-12-16,ATL,1515.18641,1512.905667,0.910965514,1523.172205,1520.641114,0.90226028,21,127,Yes,y,No,-19.084237,East,-12,88
2015-12-18,ATL,1530.227605,1515.18641,0.280254402,1537.120949,1523.172205,0.314846767,8,109,Yes,y,Yes,17.321938,East,21,127
2015-12-20,ATL,1537.82767,1530.227605,0.370397626,1543.700184,1537.120949,0.433473135,3,103,Yes,y,Yes,22.64126,East,8,109
2015-12-21,ATL,1542.640015,1537.82767,0.720305051,1549.003846,1543.700184,0.696173108,9,106,Yes,y,Yes,12.41241,East,3,103
2015-12-23,ATL,1546.497448,1542.640015,0.737779944,1554.082178,1549.003846,0.668715206,7,107,Yes,y,Yes,8.669778,East,9,106
2015-12-26,ATL,1551.25084,1546.497448,0.818220084,1558.838761,1554.082178,0.818113077,19,117,Yes,y,Yes,8.610825,East,7,107
2015-12-28,ATL,1545.915556,1551.25084,0.37041222,1553.792182,1558.838761,0.353658317,-6,87,No,y,Yes,-0.581892,East,19,117
2015-12-29,ATL,1557.426119,1545.915556,0.329302172,1563.673181,1553.792182,0.397879474,6,121,Yes,y,No,6.175279,East,-6,87
2016-01-03,ATL,1541.016969,1557.426119,0.601432991,1547.245466,1563.673181,0.601929534,-14,97,No,y,Yes,-4.898587,East,6,121
2016-01-05,ATL,1525.820795,1541.016969,0.796364965,1531.981198,1547.245466,0.79829514,-6,101,No,y,No,-31.605324,East,-14,97
2016-01-07,ATL,1534.877628,1525.820795,0.749162296,1541.553959,1531.981198,0.736923547,28,126,Yes,y,No,-6.139341,East,-6,101
2016-01-09,ATL,1545.02931,1534.877628,0.601434,1551.700161,1541.553959,0.601610595,15,120,Yes,y,Yes,19.208515,East,28,126
2016-01-13,ATL,1528.959303,1545.02931,0.455685339,1534.455893,1551.700161,0.481979116,-23,84,No,y,Yes,-5.918325,East,15,120
2016-01-15,ATL,1519.869247,1528.959303,0.53094756,1525.55816,1534.455893,0.522271764,-7,101,No,y,No,-25.160063,East,-23,84
2016-01-16,ATL,1524.179974,1519.869247,0.869104227,1531.39347,1525.55816,0.828948661,28,114,Yes,y,No,-4.779329,East,-7,101
2016-01-18,ATL,1531.57065,1524.179974,0.71539757,1538.049447,1531.39347,0.739799949,17,98,Yes,y,Yes,11.701403,East,28,114
2016-01-20,ATL,1540.651738,1531.57065,0.434363736,1547.411902,1538.049447,0.421321063,6,104,Yes,y,Yes,16.471764,East,17,98
2016-01-21,ATL,1536.113506,1540.651738,0.42331839,1542.604426,1547.411902,0.443517282,-3,88,No,y,Yes,4.542856,East,6,104
2016-01-23,ATL,1528.845691,1536.113506,0.609705639,1535.092903,1542.604426,0.624360128,-3,95,No,y,No,-11.806047,East,-3,88
2016-01-25,ATL,1541.71322,1528.845691,0.499822273,1547.289066,1535.092903,0.520473213,14,119,Yes,y,No,5.599714,East,-3,95
2016-01-27,ATL,1536.194044,1541.71322,0.553932926,1542.230479,1547.289066,0.518171269,-2,83,No,y,Yes,7.348353,East,14,119
2016-01-28,ATL,1526.776052,1536.194044,0.327646328,1530.788817,1542.230479,0.385372313,-19,92,No,y,No,-14.937168,East,-2,83
2016-01-31,ATL,1514.863205,1526.776052,0.410707977,1518.998727,1530.788817,0.407246185,-18,87,No,y,No,-21.330839,East,-19,92
2016-03-04,ATL,1540.111001,1530.047949,0.731325299,1543.716613,1533.105452,0.718853953,29,106,Yes,y,No,13.334949,East,-18,87
2016-03-05,ATL,1561.403923,1540.111001,0.185257066,1562.84554,1543.716613,0.231809842,10,107,Yes,y,Yes,31.355974,East,29,106
2016-03-08,ATL,1572.004408,1561.403923,0.404015105,1572.94084,1562.84554,0.425154009,7,91,Yes,y,Yes,31.893407,East,10,107
2016-03-10,ATL,1566.980949,1572.004408,0.307800853,1567.687687,1572.94084,0.319660101,-8,96,No,y,Yes,5.577026,East,7,91
2016-03-12,ATL,1572.518008,1566.980949,0.729305439,1574.318205,1567.687687,0.684435637,12,95,Yes,y,No,0.5136,East,-8,96
2016-03-13,ATL,1584.169056,1572.518008,0.695570795,1586.542512,1574.318205,0.682940406,29,104,Yes,y,Yes,17.188107,East,12,95
2016-03-16,ATL,1590.836693,1584.169056,0.479014501,1593.241384,1586.542512,0.477129871,4,118,Yes,y,Yes,18.318685,East,29,104
2016-03-17,ATL,1596.465988,1590.836693,0.78233921,1598.358518,1593.241384,0.799690671,18,116,Yes,y,Yes,12.296932,East,4,118
2016-03-19,ATL,1601.245911,1596.465988,0.761476541,1604.421923,1598.358518,0.707481151,12,109,Yes,y,Yes,10.409218,East,18,116
2016-03-21,ATL,1577.560177,1601.245911,0.747168479,1580.583813,1604.421923,0.750074965,-15,102,No,y,Yes,-18.905811,East,12,109
